Date,Price,Open,High,Low,Change %,
2-Sep-10,1.1004,1.101,1.1012,1.1004,-0.05%,9/2/2010
1-Sep-10,1.101,1.1215,1.1217,1.101,-1.83%,9/1/2010
31-Aug-10,1.1215,1.1214,1.1226,1.1213,0.01%,8/31/2010
30-Aug-10,1.1214,1.109,1.1214,1.1086,0.80%,8/30/2010
27-Aug-10,1.1125,1.13,1.1304,1.1125,-1.55%,8/27/2010
26-Aug-10,1.13,1.1287,1.13,1.1286,0.12%,8/26/2010
25-Aug-10,1.1287,1.1327,1.1328,1.1287,-0.35%,8/25/2010
24-Aug-10,1.1327,1.1244,1.1327,1.1242,0.74%,8/24/2010
23-Aug-10,1.1244,1.1258,1.1258,1.1244,0.49%,8/23/2010
20-Aug-10,1.1189,1.124,1.1248,1.1189,-0.45%,8/20/2010
19-Aug-10,1.124,1.1151,1.124,1.1143,0.80%,8/19/2010
18-Aug-10,1.1151,1.105,1.1151,1.1049,0.91%,8/18/2010
17-Aug-10,1.105,1.1168,1.1176,1.105,-1.06%,8/17/2010
16-Aug-10,1.1168,1.1208,1.1216,1.1168,-0.28%,8/16/2010
13-Aug-10,1.1199,1.1151,1.1199,1.1147,0.43%,8/13/2010
12-Aug-10,1.1151,1.1141,1.1151,1.1138,0.09%,8/12/2010
11-Aug-10,1.1141,1.0971,1.1141,1.0963,1.55%,8/11/2010
10-Aug-10,1.0971,1.0919,1.0971,1.0917,0.48%,8/10/2010
9-Aug-10,1.0919,1.09,1.0919,1.09,0.27%,8/9/2010
6-Aug-10,1.089,1.0936,1.0938,1.089,-0.42%,8/6/2010
5-Aug-10,1.0936,1.0917,1.0936,1.0911,0.17%,8/5/2010
4-Aug-10,1.0917,1.0947,1.0954,1.0917,-0.27%,8/4/2010
3-Aug-10,1.0947,1.0954,1.0958,1.0947,-0.06%,8/3/2010
2-Aug-10,1.0954,1.1024,1.1024,1.0954,-0.90%,8/2/2010
30-Jul-10,1.1053,1.1106,1.1114,1.1053,-0.50%,7/30/2010
29-Jul-10,1.1108,1.1223,1.1229,1.1053,-1.07%,7/29/2010
28-Jul-10,1.1228,1.1096,1.123,1.1077,1.23%,7/28/2010
27-Jul-10,1.1092,1.1102,1.1103,1.1092,-0.09%,7/27/2010
